ID,CAG AD25 (POR CREDITOS),SERVICIO SOCIAL,DISCIPLINAR ACREDITADA,DISCIPLINARES Extra,ORIENTACION,WA,Requisito
A01366013,1,1,0,1,0,1,1
A01660679,1,1,0,1,1,1,1
A00227157,1,1,0,1,1,1,1
A01748324,1,0,0,0,1,1,1
A01023650,1,1,0,1,1,0,1
A01640265,1,1,0,1,1,1,1
A01746314,1,1,0,1,1,1,1
A01028699,1,1,0,1,1,1,1
A01735502,1,1,0,1,1,1,1
A01611226,1,1,0,1,1,1,1
A01735675,1,1,0,1,1,1,1
A01704708,1,1,0,0,1,1,1
A01733655,1,1,0,1,1,0,1
A01704254,1,1,0,1,1,1,1
A01023974,1,1,0,1,1,1,1
A01633149,1,1,0,1,1,1,1
A01552190,1,1,0,1,1,1,1
A01025680,1,1,0,1,1,1,1
A01028930,1,1,0,1,1,1,1
A01754195,1,1,0,1,1,1,1
A01376771,1,1,0,1,1,1,1
A01274521,1,1,0,0,1,1,1
A01641450,1,1,0,1,1,1,1
A01653708,1,1,0,1,1,1,1
A01654151,1,1,0,1,1,1,1
A01640507,1,1,0,1,1,1,1
A01373553,1,1,0,0,1,1,1
A01024998,1,1,0,1,1,1,1
A01781770,1,1,0,1,1,1,1
A01661167,1,1,0,1,1,1,1
A01652879,1,1,0,1,1,1,1
A01379865,1,1,0,1,1,1,1
A01634562,1,1,0,1,1,1,1
A01655193,1,1,0,1,1,1,1
A01732379,1,1,0,1,1,0,1
A01639681,1,1,0,1,1,1,1
A01379804,1,1,0,1,1,1,1
A01566793,0,1,0,1,1,1,1
A01423227,1,1,0,1,1,1,1
A01655429,1,1,0,1,1,1,1
A01540824,1,1,0,1,1,1,1
A01639665,1,1,0,1,1,1,1
A00830053,1,1,0,1,1,1,1
A01411575,1,1,0,1,1,0,1
A01025062,1,1,0,1,1,1,1
A00828744,1,1,0,1,1,1,1
A01720222,1,1,0,1,1,1,1
A00834180,0,1,1,1,1,0,1
A01707673,1,1,0,1,1,1,1
A00829997,1,1,0,1,1,1,1
A01701559,1,1,0,1,1,1,1
A01236217,1,1,0,1,1,1,1
A01734617,1,1,0,1,1,1,1
A01568626,1,1,1,1,1,0,1
A01562162,1,1,0,1,1,1,1
A01704023,1,1,0,1,1,1,1
A01708948,1,1,0,1,1,1,1
A01367699,1,1,0,1,1,1,1
A01732970,1,1,0,1,1,1,1
A01735699,0,1,0,1,1,0,1
A01735289,1,1,0,1,1,1,1
A01708194,1,1,0,1,1,1,1
A01703444,0,1,0,1,1,1,1
A01701262,1,1,0,1,1,1,1
A01276878,1,1,0,1,1,1,1
A00571250,1,1,0,1,1,1,1
A01730201,1,1,0,1,1,1,1
A01374106,1,1,0,1,1,1,1
A01651301,1,1,0,1,1,1,1
A01654489,0,1,0,1,1,0,1
A01641726,1,1,0,1,1,1,1
A01612486,1,1,0,1,1,1,1
A01660615,1,1,0,1,1,0,1
A01640342,1,1,0,1,1,1,1
A01781990,1,1,0,1,1,1,1
A01640686,1,1,0,1,1,1,1
A01783090,1,1,0,1,1,1,1
A01655128,1,1,0,1,1,1,1
A01657985,1,1,0,1,0,0,1
A01754271,1,1,0,1,1,1,1
A01375748,0,1,0,1,0,0,1
A01652892,0,1,0,1,1,0,1
A01782183,0,1,0,1,1,0,1
A01641518,1,1,0,1,1,1,1
A01337843,0,1,0,1,1,0,1
A00572445,1,1,0,1,1,1,1
A01067478,1,1,0,1,1,1,1
A01750120,1,1,0,1,1,1,1
A01254206,1,1,0,1,1,1,1
A01640662,1,1,0,1,1,1,1
A01782131,1,1,0,1,1,1,1
A01254045,1,1,0,1,1,1,1
A01661879,1,1,0,1,1,1,1
A01636045,1,1,0,1,1,1,1
A01745138,1,1,0,1,1,1,1
A01747835,1,1,0,1,1,1,1
A01026157,1,1,0,1,1,1,1
A01636828,1,1,0,1,1,1,1
A00831962,1,1,0,1,1,0,1
A00829897,1,1,0,1,0,0,1
A00832611,1,1,0,1,0,0,1
A01177029,1,1,0,1,1,0,1
A00831670,1,1,0,1,1,0,1
A01721113,1,1,0,1,1,0,1
A01709067,1,1,0,1,1,0,1
A01253602,1,1,0,1,1,0,1
A00830883,1,1,0,1,1,0,1
A01734773,1,1,0,1,0,0,1
A01282191,1,1,0,1,0,0,1
A01660898,1,1,0,1,1,0,1
A01282387,0,1,0,1,0,0,1
A00830640,0,1,0,1,1,0,1
A01703896,1,1,0,1,1,1,1
A01702545,1,1,0,1,1,0,1
A00571608,1,1,0,1,1,1,1
A01275063,1,1,0,1,1,1,1
A01706557,1,1,0,1,1,1,1
A01735684,1,1,0,1,1,0,1
A01383927,1,1,0,1,1,1,1
A01566829,1,1,0,1,1,1,1
A01708125,1,1,0,1,0,0,1
A01734954,1,1,0,1,1,1,1
A01770377,1,1,0,1,1,1,1
A01568388,1,1,0,1,1,1,1
A01423590,1,1,0,1,1,1,1
A01274960,1,1,0,1,1,1,1
A01707035,1,1,0,1,1,1,1
A01366563,1,1,0,1,1,0,1
A01731322,1,1,0,1,1,1,1
A01275417,0,1,0,1,1,0,1
A01769409,1,1,0,1,1,1,1
A01367116,0,1,0,1,1,0,1
A01704130,1,1,0,1,1,1,1
A01612507,1,1,0,1,1,1,1
A01276903,1,1,0,1,1,1,1
A01735370,0,1,0,1,0,0,1
A01707861,1,1,0,1,1,0,1
A01705330,1,1,0,1,1,1,1
A01709286,1,1,0,1,1,1,1
A01732488,1,1,0,1,1,1,1
A01562158,1,1,0,1,1,0,1
A01734981,1,1,0,1,1,0,1
A01411200,1,1,0,1,1,1,1
A01703749,1,1,0,1,1,1,1
A01733417,1,1,0,1,1,0,1
A01703363,1,1,0,1,1,0,1
A01275227,1,1,0,1,1,1,1
A01367629,1,1,0,1,1,0,1
A01770116,1,1,0,1,1,1,1
A01233697,1,1,0,1,1,1,1
A01736536,1,1,0,1,1,1,1
A01741724,1,1,0,1,1,1,1
A01707480,1,1,0,1,1,1,1
A01366213,1,1,0,1,1,1,1
A01652479,1,1,0,1,1,0,1
A01655721,0,1,0,1,1,0,1
A01746201,1,1,0,1,1,1,1
A01655735,1,1,0,1,1,0,1
A01656305,1,1,0,1,1,0,1
