ID,CAG,WA,SS,OVP,DISC,DISC EXTRA
A01114781,1,0,1,1,0,1
A01372001,1,0,1,1,0,1
A01374106,1,1,1,1,0,1
A01366213,1,1,1,1,0,1
A01651301,1,1,1,1,0,1
A01366013,1,1,1,0,0,1
A01379610,0,0,1,1,0,1
A01023974,1,1,1,1,0,1
A01652479,1,0,1,1,0,1
A01274924,1,1,1,1,0,1
A01633149,1,1,1,1,0,1
A01024984,1,1,1,1,0,1
A01067149,0,1,1,1,0,0
A01275157,0,0,1,1,0,1
A01634145,1,0,1,1,0,1
A01367683,1,0,1,1,0,1
A01654489,0,1,1,1,1,1
A01552190,1,1,1,1,1,1
A01745891,0,0,1,0,0,1
A01655721,0,0,1,1,0,1
A01746201,1,1,1,1,0,1
A01655168,0,1,1,1,0,1
A01368182,1,0,1,0,0,1
A01655325,0,0,1,0,0,1
A01275468,1,1,1,1,0,1
A01655735,1,0,1,1,0,1
A01747169,1,0,1,0,0,1
A01747218,1,1,1,0,1,0
A01245631,1,1,1,1,0,0
A01368619,1,1,1,1,0,1
A01641726,1,1,1,1,0,1
A01656305,1,0,1,1,0,1
A01656379,1,0,1,1,0,1
A01704802,1,0,1,1,0,1
A01748778,1,0,1,1,0,1
A01656960,1,1,1,1,0,1
A01657167,1,1,1,0,1,1
A01636996,1,1,1,1,0,1
A01637204,1,1,1,0,1,1
A01568979,1,1,1,0,1,1
A01657711,1,1,1,0,1,1
A01657789,1,1,1,0,1,0
A01657729,1,1,1,0,1,1
A01657715,1,1,1,0,1,1
A01657702,1,1,1,0,1,1
A01657784,1,1,1,0,1,1
A01741187,0,1,1,0,1,1
A01658632,1,1,1,0,1,1
A01612486,1,1,1,1,0,1
A01660615,1,0,1,1,0,1
A01659806,1,1,1,1,0,1
A01781292,0,0,1,1,0,1
A01781018,1,1,1,1,0,1
A01741871,1,1,1,1,0,1
A00227718,1,1,1,1,0,1
A01640342,1,1,1,1,0,1
A01640616,0,0,1,1,0,1
A01640657,0,0,1,0,0,1
A00832297,1,1,1,1,0,1
A01781927,1,0,1,0,0,1
A01661085,1,1,1,1,0,1
A01641356,1,1,1,1,0,1
A01661495,1,0,1,1,0,1
A01782420,0,0,1,1,1,1
A01661605,1,0,1,0,0,1
A01782909,1,1,1,1,0,1
A01642218,1,1,1,1,0,0
A01641907,0,0,1,1,0,1
A01662292,1,1,1,0,1,1
A01771240,1,1,1,1,0,0
A01642388,1,1,1,1,0,1
A01664239,1,1,1,0,1,1
A01643720,1,1,1,0,1,1
A01664568,1,1,1,0,1,1
A00227157,1,1,1,1,1,1
A01636874,1,1,1,0,0,1
A01023170,0,1,1,0,0,1
A01781990,1,1,1,1,0,1
A01379385,1,0,1,0,0,1
A01378394,1,1,1,1,0,1
A01659884,1,1,1,1,0,1
A01378876,1,0,1,1,0,1
A01702390,1,0,1,0,0,1
A01653124,1,1,1,0,0,1
A01655732,0,1,1,0,1,1
A01653341,1,0,1,1,0,1
A01745343,1,0,1,1,0,1
A01654001,1,0,1,0,0,1
A01367669,0,0,1,1,0,1
A01025680,1,1,1,1,0,1
A01655360,1,1,1,1,0,1
A01654900,1,1,1,1,0,1
A01026151,1,1,1,0,1,1
A01656551,1,1,1,1,0,0
A07154285,0,0,1,0,0,1
A01612063,0,0,1,0,0,1
A01368481,1,1,1,1,0,0
A01026332,0,0,1,0,0,1
A01747188,1,1,1,1,0,0
A01747997,1,1,1,0,1,1
A01635785,1,1,1,1,0,1
A01747820,1,0,1,0,0,1
A00572425,1,1,1,1,0,1
A01747922,1,1,1,1,0,1
A01748097,1,0,1,1,0,1
A01027140,1,1,1,1,0,1
A01636703,0,0,1,0,0,1
A01661733,1,1,1,1,0,1
A01369249,0,0,1,1,0,1
A01749021,1,1,1,1,0,1
A01637175,1,1,1,0,1,1
A01637265,1,1,1,0,1,1
A01568926,1,1,1,0,1,1
A01658128,1,1,1,0,1,0
A01424088,1,1,1,0,1,1
A01657829,1,1,1,0,1,1
A01028930,1,1,1,1,0,1
A01754195,1,1,1,1,0,1
A01659738,1,1,1,1,0,1
A01781695,0,0,1,1,0,1
A01752783,0,0,1,1,0,1
A01552648,1,0,1,1,0,1
A01783054,1,1,1,1,0,1
A01640586,1,0,1,1,0,1
A01781791,1,0,1,1,0,1
A01660869,1,1,1,0,0,1
A01640686,1,1,1,1,0,1
A01661644,1,1,1,0,1,1
A01641950,1,1,1,0,1,1
A01754358,1,1,1,0,0,1
A01662334,1,1,1,1,0,1
A01782954,1,1,1,1,0,1
A01641761,1,1,1,0,1,1
A01662119,1,1,1,1,0,1
A01783090,1,1,1,1,0,1
A01642167,1,1,1,1,0,1
A01754889,1,1,1,1,0,1
A01783234,1,1,1,1,0,1
A01662699,1,0,1,1,0,1
A01642385,1,0,1,0,0,1
A01643347,1,1,1,0,1,1
A01643197,1,1,1,0,1,1
A01351306,1,1,1,0,1,1
A01376771,1,1,1,1,0,1
A01274521,1,1,1,1,0,0
A01632560,0,0,1,1,0,1
A01652343,1,1,1,1,0,1
A01632793,1,0,1,1,1,1
A01653328,1,1,1,1,1,1
A01745091,0,0,1,0,0,1
A01568504,1,1,1,1,0,0
A00227172,0,0,1,0,0,1
A01746072,1,0,1,1,0,1
A01654743,1,1,1,1,0,1
A01746377,0,0,1,1,0,1
A01655128,1,1,1,1,0,1
A01655200,0,0,1,1,0,1
A07106173,1,1,1,1,0,1
A01026292,1,0,1,0,0,1
A01026204,1,0,1,1,0,1
A01656276,1,0,1,0,0,1
