MATRICULA,REQUISITO,WA,SS,OVP,DISC,DISC EXTRA
A01704161,1,1,1,1,0,1
A01705340,1,1,1,1,0,1
A01658885,1,1,1,1,0,1
A01611272,1,1,1,1,0,1
A01704098,1,1,1,1,0,1
A01735826,1,1,1,1,0,1
A01233866,1,1,1,1,0,1
A01740803,1,1,1,1,0,1
A00226838,1,1,1,1,0,1
A01703364,1,1,1,1,0,1
A01708310,1,1,1,1,0,1
A01620262,1,1,1,1,0,1
A01656307,1,1,1,1,0,1
A01732320,1,1,1,1,0,1
A01352581,1,1,1,1,0,1
A00573426,1,1,1,1,0,1
A01708630,1,1,1,1,0,1
A01736605,1,1,1,1,0,1
A01735910,1,1,1,1,0,1
A01770891,1,1,1,1,0,0
A01384733,1,1,1,1,0,1
A01709066,1,1,1,1,0,1
A01709622,1,1,1,1,0,1
A01770619,1,1,1,1,0,1
A01254037,1,1,1,1,0,1
A01736480,1,1,1,1,0,1
A01368756,1,1,1,1,0,1
A01733498,1,1,1,1,0,1
A01540765,1,1,1,1,0,1
A01741045,1,1,1,1,0,1
A01611713,1,1,1,1,0,1
A01423746,1,1,1,1,0,1
A01252731,1,1,1,1,0,1
A01703933,1,1,1,1,0,1
A01702751,1,1,1,1,0,1
A01174123,1,1,1,1,0,1
A01770842,1,1,1,1,0,1
A01568661,1,1,1,1,0,1
A01620798,1,1,1,1,0,1
A01276926,1,1,1,1,0,1
A01236103,1,1,1,1,0,1
A01734535,0,0,1,1,0,1
A01732636,1,1,1,1,0,1
A01276355,0,0,1,1,0,1
A01384352,1,1,1,1,0,1
A01733504,1,1,1,1,0,1
A01368163,1,1,1,1,0,1
A01068056,1,1,1,1,0,1
A00832839,1,1,1,1,0,1
A01708608,1,1,1,1,0,1
A00573606,1,1,1,1,0,1
A01424853,1,1,1,1,0,1
A01424854,1,1,1,1,0,1
A01709229,1,1,1,1,0,1
A00227863,1,1,1,1,0,1
A01736203,1,1,1,1,0,0
A01562885,1,1,1,1,0,1
A01562832,1,1,1,1,0,1
A01742272,1,1,1,1,0,1
A01736435,1,1,1,1,0,0
A01771248,1,1,1,1,0,1
A01708930,1,1,1,1,0,1
A01236313,1,1,1,1,0,1
A01708722,1,1,1,1,0,1
A01709439,1,1,1,1,0,1
A01254314,1,1,1,1,0,1
A01705277,1,1,1,1,0,1
A01275687,1,1,1,1,0,1
A01733305,1,1,1,1,0,1
A01704493,1,1,1,1,0,1
A01704179,1,1,1,1,0,1
A01368812,1,1,1,1,0,1
A01378624,1,1,1,1,0,1
A01611257,1,1,1,1,0,1
A01704144,1,1,1,1,0,1
A01252390,1,1,1,1,0,1
A01252478,1,1,1,1,0,1
A01275564,1,1,1,1,0,1
A01235642,1,1,1,1,0,1
A01275858,1,1,1,1,0,1
A01704460,1,1,1,1,0,0
A01734985,1,1,1,1,0,1
A01174706,1,1,1,1,0,1
A01562109,1,0,1,1,0,1
A01661608,1,1,1,1,0,1
A01562542,1,1,1,1,0,1
A01735475,0,0,1,1,1,0
A01068285,1,1,1,1,0,1
A01707369,1,1,1,1,0,1
A01384717,1,1,1,1,0,1
A01236269,1,1,1,1,0,1
A01562704,1,1,1,1,0,1
A01736272,1,1,1,1,0,1
A01708766,1,1,1,1,0,1
A01709247,1,1,1,1,0,1
